DateTime,Name,Country,Volatility,Actual,Previous,Consensus
01/26/2010 09:00:00,Current Account s.a,European Monetary Union,1,-5.772,-3.412,-2.800
01/26/2010 09:00:00,IFO - Expectations,Germany,2,100.600,98.800,99.100
01/26/2010 09:00:00,IFO - Business Climate,Germany,3,95.900,94.500,95.200
01/26/2010 09:00:00,IFO - Current Assessment,Germany,2,91.400,90.400,91.300
01/26/2010 09:30:00,BBA Mortgage Approvals,United Kingdom,1,46.388,43.652,45.300
01/26/2010 09:30:00,Gross Domestic Product (QoQ),United Kingdom,3,0.100,-0.300,0.400
01/26/2010 09:30:00,Gross Domestic Product (YoY),United Kingdom,3,-3.200,-5.300,-3.000
01/26/2010 09:30:00,Index of Services (3M/3M),United Kingdom,0,0.100,0.100,0.400
01/26/2010 09:45:00,BoE's Governor King Speech,United Kingdom,2,,,
01/26/2010 14:00:00,S&P/Case-Shiller Home Price Indices (YoY),United States,2,-5.300,-7.300,-4.900
01/26/2010 15:00:00,Consumer Confidence,United States,2,56.500,53.600,53.600
01/26/2010 15:00:00,Housing Price Index (MoM),United States,1,0.400,0.600,0.500
01/26/2010 15:00:00,Richmond Fed Manufacturing Index,United States,1,-2.000,-4.000,0.000
01/26/2010 22:30:00,Westpac Leading Index (MoM),Australia,1,1.000,0.500,
01/26/2010 23:50:00,Adjusted Merchandise Trade Balance,Japan,2,655.868,492.400,610.000
01/26/2010 23:50:00,Merchandise Trade Balance Total,Japan,2,545.300,371.300,610.000
01/27/2010 00:00:00,World Economic Forum - Davos,Switzerland,0,,,
01/27/2010 00:30:00,Consumer Price Index (YoY),Australia,1,2.100,1.300,2.000
01/27/2010 00:30:00,Consumer Price Index (QoQ),Australia,2,0.500,1.000,0.400
01/27/2010 05:00:00,BoJ Monthly Economic Survey,Japan,2,,,
01/27/2010 11:00:00,CBI Distributive Trades Survey - Realized (MoM),United Kingdom,2,-8.000,13.000,12.000
01/27/2010 12:00:00,MBA Mortgage Applications,United States,1,-10.900,9.100,
01/27/2010 15:00:00,Treasury's Geithner Speech,United States,1,,,
01/27/2010 15:00:00,New Home Sales Change (MoM),United States,0,-3.900,-11.300,
01/27/2010 15:00:00,New Home Sales (MoM),United States,2,348.000,370.000,372.000
01/27/2010 15:30:00,EIA Crude Oil Stocks change,United States,1,-3.900,-0.400,1.600
01/27/2010 19:15:00,Fed Interest Rate Decision,United States,3,0.250,0.250,0.250
01/27/2010 19:25:12,Consumer Price Index (MoM),Germany,2,-0.600,0.800,-0.200
01/27/2010 19:36:47,Consumer Price Index (YoY),Germany,2,0.800,0.900,1.000
01/27/2010 20:00:00,RBNZ Interest Rate Decision,New Zealand,3,2.500,2.500,2.500
01/27/2010 23:50:00,Retail Trade (YoY),Japan,2,-0.200,-1.100,0.300
01/27/2010 23:50:00,Retail Trade s.a (MoM),Japan,2,-1.200,0.000,
01/27/2010 23:50:00,Large Retailers' Sales,Japan,1,-4.600,-9.700,
01/28/2010 00:00:00,World Economic Forum - Davos,Switzerland,0,,,
01/28/2010 02:00:00,M3 Money Supply (YoY),New Zealand,1,-1.100,-1.800,
01/28/2010 08:55:00,Unemployment Rate s.a.,Germany,2,8.100,8.100,8.200
01/28/2010 08:55:00,Unemployment Change,Germany,2,-11.000,-26.000,20.000
01/28/2010 10:00:00,Consumer Confidence,European Monetary Union,2,-15.800,-16.000,-15.000
01/28/2010 10:00:00,Industrial Confidence,European Monetary Union,1,-13.800,-15.900,-15.000
01/28/2010 10:00:00,Economic Sentiment Indicator,European Monetary Union,1,95.400,94.400,92.300
01/28/2010 13:30:00,Initial Jobless Claims,United States,2,472.000,478.000,451.000
01/28/2010 13:30:00,Continuing Jobless Claims,United States,1,4600.000,4659.000,4590.000
01/28/2010 13:30:00,Durable Goods Orders ex Transportation,United States,3,2.000,2.100,0.500
01/28/2010 13:30:00,Durable Goods Orders,United States,3,1.900,-0.400,2.100
01/28/2010 21:45:00,Building Permits s.a. (MoM),New Zealand,1,-3.500,0.100,3.000
01/28/2010 21:45:00,Trade Balance (MoM),New Zealand,2,2.000,-276.000,-99.000
01/28/2010 23:15:00,Nikkei Manufacturing PMI,Japan,1,52.500,53.800,
